Ano,110020 Porto Velho,120040 Rio Branco,130260 Manaus,140010 Boa Vista,150140 Belém,160030 Macapá,172100 Palmas,211130 São Luís,221100 Teresina,230440 Fortaleza,240810 Natal,250750 João Pessoa,261160 Recife,270430 Maceió,280030 Aracaju,292740 Salvador,310620 Belo Horizonte,320530 Vitória,330455 Rio de Janeiro,355030 São Paulo,410690 Curitiba,420540 Florianópolis,431490 Porto Alegre,500270 Campo Grande,510340 Cuiabá,520870 Goiânia,530010 Brasília,Ignorado,Total,Total_Nacional,Casos_Notificados
0,920942,677082,4981373,728054,2151716,877038,488910,1750145,1363984,4524772,1202575,1132162,2445831,1547150,921497,4008758,3525483,562264,8965881,19106197,2835087,559572,1823595,1455198,983065,2259379,5063584,247967515,324828809,401690103,
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,100,267,434,
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,48626,48648,48670,
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,22887,22942,22997,
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,0,0,17,0,0,0,0,124,27352,28604,29856,
1998,0,0,766746,0,0,0,0,794,0,0,12,0,0,0,0,0,0,0,1524,21290,0,26,0,0,0,0,112375,30064,932831,1835598,
1999,6332,0,3711,0,34310,0,1194,330,6768,54724,2562,0,59123,6824,0,0,99133,0,151813,13742,0,151,16,364,6226,45237,149992,1156111,1798663,2441215,
2000,27834,12620,109648,39155,83726,28220,17113,67647,62068,141432,53570,31652,88107,58200,48861,119998,134797,14427,273715,756079,79858,17652,68115,44843,32395,72294,159175,7747467,10390668,13033869,
2001,24124,26247,121464,17877,96011,54326,18827,82502,44804,141342,46785,33462,91000,49733,35335,133761,124002,14658,250443,692833,83299,17050,57755,52323,28259,70018,157608,8952297,11518145,14083993,
2002,24708,20186,113154,17865,84344,25139,12098,68723,39242,132744,44689,33527,84473,60916,31269,118194,87278,13684,327162,562660,71638,16296,52850,41690,26525,60822,142738,7867861,10182475,12497089,
2003,22626,22293,108266,18695,84495,27106,11474,70975,41210,163040,45164,36843,84548,54773,31612,133833,95104,15922,252695,627230,82159,14777,55376,41878,28810,67322,157464,8092382,10488072,12883762,
2004,22068,20243,101419,17931,74813,25737,11567,62247,41187,131598,39041,37571,79477,54891,29361,128141,100885,16623,252980,647019,71225,14343,54970,34884,27443,64761,144354,7747749,10054528,12361307,
2005,24132,22314,109038,18711,79937,26033,11479,62230,41626,119724,39065,38058,76675,51213,21378,123917,100626,15018,254949,594775,76303,14281,55444,38024,27532,63817,140162,7545146,9791607,12038068,
2006,22701,21897,113458,17755,82419,26197,12098,58811,40473,107886,36946,36671,71385,46619,20238,117927,93088,14815,239152,567606,83507,14208,53364,38402,27884,68765,142316,7349408,9525996,11702584,
2007,22288,21830,110015,18452,80869,25651,11733,58290,40004,114378,33974,36002,69202,39503,26375,112255,94682,15409,235286,570272,80559,14737,51732,39659,28865,75513,139526,7129558,9296619,11463680,
2008,22721,21449,109947,18623,74547,26678,11567,59714,38530,105916,32142,35229,65425,32372,27388,97414,103482,15953,233544,567052,78306,15079,51396,40718,28056,76333,136717,7034043,9160341,11286639,
2009,24309,23110,119639,19497,71900,27939,12807,60354,38557,114911,36251,35642,66688,48205,27065,108301,149521,16878,232511,587299,80860,16795,51553,41432,28324,79413,142671,7411358,9673790,11936222,
2010,28637,20633,131880,20981,72389,24999,16817,62351,37430,173604,38045,34564,74784,57356,27159,475221,192282,22226,311899,746887,112010,20946,61468,50034,33209,97418,181331,9695531,12822091,15948651,
2011,51790,40489,232843,36088,133069,52715,26267,112245,87178,209787,74850,64254,140560,63169,64106,249023,181262,32028,501765,1116040,157943,33761,107079,83044,54074,128571,243542,13723474,18001016,22278558,
2012,52542,35939,228591,30864,113448,47887,24721,111246,77940,216333,70814,63166,133108,86911,51918,214697,183910,29414,476745,1039087,147273,29611,95372,76815,47453,123230,254822,12762245,16826102,20889959,
