data_type,dimension_value,confirmed_cases
Ano,"<1975",87
Ano,1975,2
Ano,1976,5
Ano,1977,5
Ano,1978,3
Ano,1979,3
Ano,1980,3
Ano,1981,4
Ano,1982,5
Ano,1983,2
Ano,1984,2
Ano,1985,5
Ano,1986,4
Ano,1987,4
Ano,1988,3
Ano,1989,5
Ano,1990,2
Ano,1991,2
Ano,1992,2
Ano,1993,1
Ano,1994,2
Ano,1995,5
Ano,1997,7
Ano,1998,6
Ano,1999,1
Ano,2000,14
Ano,2001,20
Ano,2002,13
Ano,2003,11
Ano,2004,22
Ano,2005,19
Ano,2006,469
Ano,2007,29949
Ano,2008,24342
Ano,2009,22086
Ano,2010,20536
Ano,2011,20802
Ano,2012,21808
Ano,2013,19268
Ano,2014,17704
Ano,2015,16100
Ano,2016,15681
Ano,2017,17035
Ano,2018,17593
Ano,2019,16685
Ano,2020,7078
Ano,2021,6874
Ano,2022,12562
Ano,2023,16437
Ano,2024,4526
Faixa_Etaria,"Em branco/IGN",242
Faixa_Etaria,"<1 Ano",45634
Faixa_Etaria,"1-4",56560
Faixa_Etaria,"5-9",46171
Faixa_Etaria,"10-14",23987
Faixa_Etaria,"15-19",15263
Faixa_Etaria,"20-39",57560
Faixa_Etaria,"40-59",41495
Faixa_Etaria,"60-64",6800
Faixa_Etaria,"65-69",5166
Faixa_Etaria,"70-79",6358
Faixa_Etaria,"80 e +",2568
Sorogrupo,"Ign/Em Branco",294218
Sorogrupo,A,43
Sorogrupo,B,3100
Sorogrupo,C,9221
Sorogrupo,D,1
Sorogrupo,X,13
Sorogrupo,Y,315
Sorogrupo,Z,5
Sorogrupo,"W135",862
Sorogrupo,"29 E",26
UF,"11 Rondônia",1166
UF,"12 Acre",366
UF,"13 Amazonas",2780
UF,"14 Roraima",400
UF,"15 Pará",7039
UF,"16 Amapá",228
UF,"17 Tocantins",1060
UF,"21 Maranhão",2113
UF,"22 Piauí",5527
UF,"23 Ceará",6847
UF,"24 Rio Grande do Norte",2278
UF,"25 Paraíba",1291
UF,"26 Pernambuco",20514
UF,"27 Alagoas",2095
UF,"28 Sergipe",859
UF,"29 Bahia",15622
UF,"31 Minas Gerais",17939
UF,"32 Espírito Santo",2980
UF,"33 Rio de Janeiro",18291
UF,"35 São Paulo",121866
UF,"41 Paraná",27240
UF,"42 Santa Catarina",13879
UF,"43 Rio Grande do Sul",21352
UF,"50 Mato Grosso do Sul",2823
UF,"51 Mato Grosso",3219
UF,"52 Goiás",5122
UF,"53 Distrito Federal",2908
Regiao,"1 Região Norte",13039
Regiao,"2 Região Nordeste",57146
Regiao,"3 Região Sudeste",161076
Regiao,"4 Região Sul",62471
Regiao,"5 Região Centro-Oeste",14072
Regiao_UF,"Região Norte",13039
Regiao_UF,".. Rondônia",1166
Regiao_UF,".. Acre",366
Regiao_UF,".. Amazonas",2780
Regiao_UF,".. Roraima",400
Regiao_UF,".. Pará",7039
Regiao_UF,".. Amapá",228
Regiao_UF,".. Tocantins",1060
Regiao_UF,"Região Nordeste",57146
Regiao_UF,".. Maranhão",2113
Regiao_UF,".. Piauí",5527
Regiao_UF,".. Ceará",6847
Regiao_UF,".. Rio Grande do Norte",2278
Regiao_UF,".. Paraíba",1291
Regiao_UF,".. Pernambuco",20514
Regiao_UF,".. Alagoas",2095
Regiao_UF,".. Sergipe",859
Regiao_UF,".. Bahia",15622
Regiao_UF,"Região Sudeste",161076
Regiao_UF,".. Minas Gerais",17939
Regiao_UF,".. Espírito Santo",2980
Regiao_UF,".. Rio de Janeiro",18291
Regiao_UF,".. São Paulo",121866
Regiao_UF,"Região Sul",62471
Regiao_UF,".. Paraná",27240
Regiao_UF,".. Santa Catarina",13879
Regiao_UF,".. Rio Grande do Sul",21352
Regiao_UF,"Região Centro-Oeste",14072
Regiao_UF,".. Mato Grosso do Sul",2823
Regiao_UF,".. Mato Grosso",3219
Regiao_UF,".. Goiás",5122
Regiao_UF,".. Distrito Federal",2908
