"Capital";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"7 a 9 anos";"7 a 11 anos";"7 a 17 anos";"9 a 12 anos";"10 a 11 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";"Ignorado";" Total"
"110020 Porto Velho";"1214119";"613464";"62422";"38350";"177224";"14";"14";"2";"1";"221";"426";"13506";"14218";"4116";"144";"218";"1639";"41861";"457";"8";"34";"76057";"27";"341";"8";"33";"2862";"649";"3487";"100";"703";"10127";"15";"26790";"8277";"26158";"18553";"1";"15058";"10952";"4";"8787";"40204";"47816";"13306";"556";"8467";"201930";"43538";"454501";"53136";"7269";"290202";"2835";"3555207"
"120040 Rio Branco";"879965";"433343";"71216";"40176";"119219";"131";"70";"60";"46";"315";"417";"7794";"7691";"3796";"160";"1309";"1552";"49458";"901";"35";"0";"52428";"88";"647";"1";"0";"1813";"1111";"2125";"52";"0";"3131";"23";"5983";"7616";"4711";"3212";"1";"2831";"2144";"0";"1482";"23646";"21755";"4308";"4";"9424";"144131";"42846";"267068";"33447";"6480";"162832";"2732";"2425726"
"130260 Manaus";"6089773";"2670471";"409767";"210112";"672311";"871";"645";"306";"187";"1559";"2180";"103379";"93249";"28750";"1109";"2813";"3020";"256398";"1448";"159";"15";"321003";"245";"957";"6";"10";"43087";"1128";"55993";"418";"238";"117164";"69";"218136";"14112";"214874";"158621";"3";"136682";"95075";"4";"69520";"182115";"152314";"52983";"548";"53472";"1133855";"170655";"1967448";"320791";"62575";"799683";"22318";"16914624"
"140010 Boa Vista";"960176";"451873";"61258";"37774";"148408";"123";"35";"99";"6";"519";"753";"12457";"22880";"6316";"1295";"44";"2813";"37310";"2200";"0";"2";"84613";"44";"1683";"0";"1";"20399";"2121";"27216";"46";"0";"54027";"20";"85169";"15041";"73211";"41016";"0";"31499";"21831";"0";"16001";"45709";"31399";"6963";"64";"6847";"140278";"30942";"435729";"68078";"42990";"147886";"4110";"3181274"
"150140 Belém";"3005641";"1472248";"200575";"109698";"388541";"478";"371";"191";"180";"622";"1105";"26758";"37192";"10683";"1123";"5333";"9015";"92228";"4485";"242";"0";"209522";"357";"2302";"0";"1";"20491";"2140";"21410";"100";"1";"46546";"37";"81686";"17210";"71543";"46063";"18";"42391";"31745";"42";"25080";"129796";"204030";"27025";"259";"69537";"569780";"248129";"1213218";"236446";"30811";"526936";"4397";"9245758"
"160030 Macapá";"1131379";"558111";"89590";"50693";"161288";"246";"173";"115";"78";"248";"476";"9317";"11315";"4140";"386";"269";"1327";"46568";"241";"1";"0";"63726";"31";"115";"1";"0";"6192";"124";"8551";"74";"0";"15763";"11";"26789";"1951";"22304";"15524";"1";"14009";"11632";"2";"9351";"32999";"31988";"5001";"154";"7653";"221627";"27210";"253577";"30144";"2193";"131382";"2000";"3008040"
"172100 Palmas";"613438";"313699";"26991";"18496";"97077";"33";"7";"5";"5";"44";"81";"8865";"11202";"2803";"354";"404";"769";"14027";"334";"8";"0";"50097";"18";"144";"0";"0";"5319";"199";"5953";"16";"48";"13474";"1";"26372";"2777";"24493";"17494";"0";"13598";"9140";"0";"6449";"23372";"18181";"8111";"72";"3679";"91901";"16518";"264478";"38546";"13084";"133686";"1164";"1897026"
"211130 São Luís";"2524903";"1329248";"264458";"158290";"364105";"516";"202";"99";"120";"4794";"865";"15761";"28274";"10555";"1530";"2821";"6153";"160645";"2727";"57";"20";"275747";"338";"1787";"19";"77";"13110";"3063";"12130";"454";"371";"15545";"254";"27188";"8430";"25252";"17526";"54";"13930";"11156";"92";"8800";"95728";"91627";"10515";"812";"54803";"640579";"133390";"752170";"138897";"34570";"381563";"3140";"7649260"
"221100 Teresina";"1832844";"981473";"72154";"39507";"235841";"86";"87";"32";"33";"269";"631";"23523";"20487";"6391";"1668";"686";"1724";"69768";"1127";"2";"0";"82603";"134";"907";"0";"0";"6395";"913";"7473";"442";"103";"20530";"68";"41892";"11420";"36767";"25500";"3";"21715";"15845";"6";"11792";"57023";"79207";"29570";"37";"14139";"351560";"27385";"517411";"71842";"17734";"243353";"3715";"4985817"
"230440 Fortaleza";"6063175";"3327391";"392033";"245561";"887003";"463";"268";"288";"122";"2155";"2713";"85202";"85160";"28225";"2993";"2211";"15161";"214038";"3329";"1";"0";"328099";"1714";"2731";"3";"565";"32387";"2880";"38457";"92";"1010";"67257";"264";"145527";"21461";"153552";"110872";"25";"94914";"66960";"26";"52553";"221791";"230830";"82455";"563";"64586";"951111";"224739";"1677156";"343499";"56287";"663793";"8036";"17003687"
