 Imunizações - Doses Aplicadas - Brasil ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doses_aplicadas por Capital segundo Ano/mês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Imunobiológicos:BCG (BCG),Haemophilus influenzae tipo b (Hib),Meningococo A/C (MnAC),Meningococo B/C (MnBC),Meningocócica Conjugada - C (MncC),Pentavalente (DTP+HB+Hib) (PENTA),Pneumocócica 10valente,Pneumocócica Conjugada 7 Valente (Pnc7),Pneumocócica Polissacarídica 23 Valente (Pn23),Pneumocócica 13 valente,Tetravalente (DTP/Hib) (TETRA),Penta inativada (DTPa/Hib/Vip),Meningocócica ACWY135,Meningocócica  B; Ano:1994-2022; ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano/mês;Porto Velho;Rio Branco;Manaus;Boa Vista;Belém;Macapá;Palmas;São Luís;Teresina;Fortaleza;Natal;João Pessoa;Recife;Maceió;Aracaju;Salvador;Belo Horizonte;Vitória;Rio de Janeiro;São Paulo;Curitiba;Florianópolis;Porto Alegre;Campo Grande;Cuiabá;Goiânia;Brasília;Ignorado; Total
1994;13.048;8.514;18.849;7.936;33.367;0;0;42.402;17.983;60.621;16.475;0;90.233;0;0;73.109;0;7.432;0;0;0;7.576;0;0;23.183;15.887;0;1.739.944;2.176.559
1995;14.744;13.328;41.165;7.855;41.777;6.966;0;46.232;21.890;65.265;16.684;4.257;101.126;22.695;16.510;40.636;0;10.524;232.206;211.564;41.559;6.849;30.392;0;14.581;35.628;734;3.507.341;4.552.508
1996;14.675;8.991;50.006;8.463;36.641;12.496;3.081;43.776;21.632;94.843;16.912;16.445;106.520;22.830;15.062;40.199;0;9.751;182.281;206.153;28.929;6.354;46.437;18.343;17.145;33.748;60.921;3.477.410;4.600.044
1997;10.575;7.127;53.031;8.330;35.223;11.569;5.295;54.372;20.160;106.985;16.727;21.379;87.135;23.155;16.350;60.739;28.475;9.286;225.468;250.659;32.340;6.751;45.948;20.064;21.476;45.481;67.653;4.289.223;5.580.976
1998;14.238;9.218;855.207;9.178;25.392;12.966;8.155;46.843;23.083;65.101;16.545;21.760;90.908;63.961;17.055;58.896;22.936;9.615;193.472;280.386;33.615;4.941;42.310;20.809;24.140;38.844;209.618;3.968.503;6.187.695
1999;16.250;10.119;54.655;10.455;70.332;22.371;18.174;54.229;35.094;134.747;23.227;19.040;162.367;72.434;25.784;48.743;194.153;10.293;361.538;290.287;31.105;6.030;47.009;27.951;29.711;91.784;275.052;5.398.726;7.541.660
2000;37.420;22.187;160.960;60.446;133.114;44.036;27.795;111.094;92.868;220.785;74.202;49.292;174.891;100.905;76.784;168.759;210.768;22.819;457.443;1.018.686;111.011;23.764;113.080;78.652;56.331;122.324;235.497;11.883.571;15.889.484
2001;33.641;40.606;177.647;29.693;145.406;77.739;30.140;125.410;73.256;217.816;65.784;52.313;161.920;81.380;59.228;187.628;219.112;23.670;435.428;926.336;114.602;22.750;97.785;82.034;50.927;114.882;240.928;13.257.233;17.145.294
2002;33.221;31.098;183.513;28.978;129.276;36.529;21.601;111.307;70.643;214.804;64.942;51.538;139.797;104.172;42.099;171.151;172.372;21.090;501.515;786.609;100.792;22.573;92.658;72.475;47.964;89.811;213.493;12.037.652;15.593.673
2003;31.402;33.235;175.334;29.545;126.619;37.429;22.459;119.099;67.739;249.959;66.516;53.878;141.178;93.589;41.822;188.482;182.088;23.157;438.860;867.550;109.317;20.124;97.214;64.536;52.806;96.663;217.743;12.040.687;15.689.030
2004/Jan;2.787;2.662;14.716;2.333;9.787;3.639;1.963;9.177;5.874;17.310;5.659;4.754;10.731;7.838;3.575;11.085;18.815;2.055;40.647;73.350;9.079;1.519;9.596;3.582;3.355;8.105;18.665;960.149;1.262.807
2004/Fev;2.272;2.539;11.576;2.995;10.438;2.461;1.485;8.656;4.842;15.801;3.587;4.116;11.674;8.301;3.485;15.804;12.345;1.760;29.631;80.850;6.959;1.704;7.619;5.095;4.750;7.981;16.394;904.138;1.189.258
2004/Mar;2.715;2.902;12.648;2.223;8.578;3.012;1.839;9.681;5.915;14.692;5.439;4.948;10.543;7.870;3.543;13.114;18.241;1.964;40.624;74.186;9.629;1.303;9.281;4.611;4.331;7.706;21.762;1.006.403;1.309.703
2004/Abr;2.610;2.632;14.040;2.359;10.231;2.969;1.588;8.126;5.234;15.445;4.627;5.193;12.619;8.504;3.592;18.912;14.772;21.697;33.655;102.471;7.887;1.724;8.090;4.924;4.348;8.651;29.316;1.008.453;1.364.669
2004/Mai;2.572;2.255;12.337;2.511;8.556;2.415;1.606;10.050;5.218;16.484;2.881;5.038;10.782;8.418;3.469;14.673;14.636;7.606;30.136;97.035;7.919;1.642;7.300;4.623;3.887;7.927;16.651;976.603;1.285.230
2004/Jun;2.507;2.543;7.406;2.926;9.710;3.468;1.985;9.774;5.496;19.261;5.463;5.372;11.788;8.059;3.811;19.623;13.075;3.790;41.039;86.548;9.220;1.579;9.361;5.227;5.247;7.977;17.169;1.108.972;1.428.396
2004/Jul;2.478;2.411;11.972;2.177;8.742;2.735;1.685;9.580;5.720;16.288;4.833;4.633;10.701;8.902;3.037;14.385;14.912;3.681;37.934;70.515;8.148;1.704;6.938;4.616;4.145;7.846;16.115;921.305;1.208.138
2004/Ago;2.672;2.381;13.973;2.758;10.269;3.062;1.977;10.810;5.935;19.327;6.140;4.373;13.096;7.679;3.706;15.044;15.982;2.553;39.933;82.130;9.213;1.747;9.029;5.303;4.448;8.095;17.624;1.093.381;1.412.640
2004/Set;2.791;3.225;13.581;2.666;9.090;3.304;1.742;9.995;5.342;20.794;4.562;4.653;9.882;7.860;3.091;19.732;13.608;2.331;35.384;71.275;7.561;1.892;6.885;4.707;5.028;7.519;16.025;919.766;1.214.291
