 Proje��o da Popula��o das Unidades da Federa��o por sexo, idade simples ou faixa-et�ria: 2000-2070 (edi��o 2024);;;;;;;;;;;;;;;;;;;;;;;;;;
Popula��o residente por Regi�o/Unidade da Federa��o e Ano;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo: Masculino, Feminino;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa Et�ria 1: 0 a 4 anos, 5 a 9 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos, 70 a 74 anos, 75 a 79 anos, 80 a 84 anos, 85 a 89 anos, 90 anos e mais;;;;;;;;;;;;;;;;;;;;;;;;;;
Per�odo:2000-2025;;;;;;;;;;;;;;;;;;;;;;;;;;
Regi�o/Unidade da Federa��o;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Regi�o Norte;13340960;13637976;13930752;14220524;14508485;14795552;15083626;15367681;15647620;15919181;16158154;16374290;16591669;16808083;17025334;17236948;17429371;17606346;17783329;17970930;18137222;18272491;18403491;18535113;18669345;18801282
.. Rond�nia;1376519;1397209;1418120;1439286;1460771;1482624;1504503;1526378;1548087;1569789;1587848;1603348;1619871;1635974;1651873;1666906;1680084;1691568;1701892;1712560;1722753;1729622;1734648;1740255;1746227;1751950
.. Acre;587326;605327;623537;641931;660422;678929;697370;715533;733604;750670;765021;778363;791681;803838;815526;826677;836294;844496;851504;857919;863657;868346;872566;876582;880631;884372
.. Amazonas;2850718;2921349;2990832;3059850;3129049;3198932;3270286;3342171;3414261;3485454;3551196;3611905;3673149;3735289;3798063;3859110;3914566;3966332;4018483;4073280;4121226;4160013;4199791;4240571;4281209;4321616
.. Roraima;339804;354478;368838;382871;396533;409855;422550;434778;446905;458716;469991;481480;493876;507022;520569;534380;548233;564013;587497;618125;640975;654972;673404;695270;716793;738772
.. Par�;6493843;6621374;6747419;6872273;6996232;7119568;7243750;7366330;7486557;7601341;7700603;7788583;7875244;7961082;8047210;8131409;8207830;8275842;8339467;8404430;8465192;8520153;8570045;8616120;8664306;8711196
.. Amap�;500966;522673;543703;564107;583964;603274;621428;638841;655719;672357;686987;699770;711828;723831;735883;747050;756948;765558;772784;779468;785533;790871;795457;799124;802837;806517
.. Tocantins;1191784;1215566;1238303;1260206;1281514;1302370;1323739;1343650;1362487;1380854;1396508;1410841;1426020;1441047;1456210;1471416;1485416;1498537;1511702;1525148;1537886;1548514;1557580;1567191;1577342;1586859
Regi�o Nordeste;48974858;49533198;50065252;50575534;51070449;51553879;52032456;52482875;52917626;53339516;53692489;53988268;54290315;54593052;54895712;55204481;55483846;55729786;55987936;56272587;56524887;56713897;56848401;56970423;57112096;57244485
.. Maranh�o;5907492;5985865;6060566;6133227;6205349;6277575;6355062;6428834;6498707;6565252;6621117;6667356;6711398;6752584;6792706;6831416;6863878;6890375;6917016;6946725;6970988;6988154;6998087;7003234;7010960;7018211
.. Piau�;2930352;2962306;2992376;3021150;3048794;3075209;3100299;3123388;3144436;3164490;3181697;3196841;3211704;3225625;3239971;3255812;3271094;3285746;3302227;3320228;3335863;3347856;3357043;3365881;3375646;3384547
.. Cear�;7711598;7815114;7911267;8000590;8085167;8166770;8248964;8327037;8402114;8474592;8537726;8591799;8645927;8701148;8757083;8816218;8873158;8924184;8976628;9035631;9088929;9129520;9162955;9196672;9233656;9268836
.. Rio Grande do Norte;2846263;2886371;2925058;2962562;2999247;3035448;3072555;3107299;3141098;3174404;3202809;3227267;3251725;3275502;3298890;3322012;3342283;3359217;3375511;3392434;3407618;3419382;3427955;3436278;3446071;3455236
.. Para�ba;3500188;3534522;3568570;3602131;3635226;3667851;3699871;3729368;3757574;3786420;3812591;3835568;3858388;3881604;3905995;3932039;3957455;3981512;4008413;4037810;4064935;4087783;4106026;4124468;4145040;4164468
.. Pernambuco;8149336;8236052;8321143;8404555;8486414;8567075;8645942;8721073;8795257;8868632;8929674;8982283;9039233;9097265;9154884;9213107;9262684;9304183;9348293;9396505;9438962;9470176;9493026;9514483;9539029;9562007
.. Alagoas;2882661;2918610;2951483;2981741;3009912;3036152;3060167;3081004;3100630;3118274;3131625;3142169;3152317;3162669;3172381;3181178;3187906;3193155;3200128;3208704;3214823;3217819;3218381;3218607;3220104;3220848
.. Sergipe;1826301;1854456;1881740;1908496;1934956;1961295;1988308;2014700;2040599;2065681;2087727;2107526;2126767;2145625;2164191;2182252;2198312;2212722;2227068;2241300;2254218;2264937;2273589;2281994;2291077;2299425
.. Bahia;13220667;13339902;13453049;13561082;13665384;13766504;13861288;13950172;14037211;14121771;14187523;14237459;14292856;14351030;14409611;14470447;14527076;14578692;14632652;14693250;14748551;14788270;14811339;14828806;14850513;14870907
Regi�o Sudeste;74758366;75676496;76559025;77407786;78230351;79032587;79807799;80548781;81271966;81977704;82575202;83107250;83689735;84289393;84893919;85494023;86032875;86509018;86949467;87386818;87778972;88016928;88178052;88387852;88617693;88825643
.. Minas Gerais;18211412;18422253;18624410;18816368;18998797;19172436;19335903;19487371;19633228;19774776;19886309;19981515;20094110;20214721;20340917;20470203;20588168;20695003;20801238;20916751;21032009;21117017;21178401;21247401;21322691;21393441
.. Esp�rito Santo;3181143;3229643;3277799;3325612;3373196;3420621;3466704;3511878;3557343;3602364;3640888;3676063;3714258;3753762;3793919;3834033;3870870;3904551;3937119;3970009;4001467;4027541;4050913;4076068;4102129;4126854
.. Rio de Janeiro;15351803;15521958;15676803;15818316;15949905;16073930;16190233;16297848;16398749;16495668;16575147;16642646;16719094;16800610;16885883;16971856;17043727;17100398;17148943;17193919;17222305;17220455;17211760;17213813;17219679;17223547
.. S�o Paulo;38014008;38502642;38980013;39447490;39908453;40365600;40814959;41251684;41682646;42104896;42472858;42807026;43162273;43520300;43873200;44217931;44530110;44809066;45062167;45306139;45523191;45651915;45736978;45850570;45973194;46081801
Regi�o Sul;25503013;25778584;26044118;26300167;26548546;26791818;27034698;27263317;27487139;27713226;27910392;28098358;28315488;28551836;28802860;29062489;29316913;29561726;29807638;30066296;30323248;30529735;30704015;30903366;31113021;31310809
