Região,Período,Casos_Hospitalares,Ano,Mês,Mês_Num,Data,Ano_Num,Trimestre,Semestre
Região Norte,2008/Jan,1.0,2008,Jan,1,2008-01-01,2008,1,1
Região Nordeste,2008/Jan,5.0,2008,Jan,1,2008-01-01,2008,1,1
Região Sudeste,2008/Jan,9.0,2008,Jan,1,2008-01-01,2008,1,1
Região Sul,2008/Jan,11.0,2008,Jan,1,2008-01-01,2008,1,1
Região Centro-Oeste,2008/Jan,,2008,Jan,1,2008-01-01,2008,1,1
Região Norte,2008/Fev,1.0,2008,Fev,2,2008-02-01,2008,1,1
Região Nordeste,2008/Fev,3.0,2008,Fev,2,2008-02-01,2008,1,1
Região Sudeste,2008/Fev,11.0,2008,Fev,2,2008-02-01,2008,1,1
Região Sul,2008/Fev,13.0,2008,Fev,2,2008-02-01,2008,1,1
Região Centro-Oeste,2008/Fev,,2008,Fev,2,2008-02-01,2008,1,1
Região Norte,2008/Mar,,2008,Mar,3,2008-03-01,2008,1,1
Região Nordeste,2008/Mar,5.0,2008,Mar,3,2008-03-01,2008,1,1
Região Sudeste,2008/Mar,23.0,2008,Mar,3,2008-03-01,2008,1,1
Região Sul,2008/Mar,5.0,2008,Mar,3,2008-03-01,2008,1,1
Região Centro-Oeste,2008/Mar,2.0,2008,Mar,3,2008-03-01,2008,1,1
Região Norte,2008/Abr,3.0,2008,Abr,4,2008-04-01,2008,2,1
Região Nordeste,2008/Abr,8.0,2008,Abr,4,2008-04-01,2008,2,1
Região Sudeste,2008/Abr,20.0,2008,Abr,4,2008-04-01,2008,2,1
Região Sul,2008/Abr,10.0,2008,Abr,4,2008-04-01,2008,2,1
Região Centro-Oeste,2008/Abr,2.0,2008,Abr,4,2008-04-01,2008,2,1
Região Norte,2008/Mai,3.0,2008,Mai,5,2008-05-01,2008,2,1
Região Nordeste,2008/Mai,10.0,2008,Mai,5,2008-05-01,2008,2,1
Região Sudeste,2008/Mai,21.0,2008,Mai,5,2008-05-01,2008,2,1
Região Sul,2008/Mai,12.0,2008,Mai,5,2008-05-01,2008,2,1
Região Centro-Oeste,2008/Mai,3.0,2008,Mai,5,2008-05-01,2008,2,1
Região Norte,2008/Jun,2.0,2008,Jun,6,2008-06-01,2008,2,1
Região Nordeste,2008/Jun,6.0,2008,Jun,6,2008-06-01,2008,2,1
Região Sudeste,2008/Jun,27.0,2008,Jun,6,2008-06-01,2008,2,1
Região Sul,2008/Jun,6.0,2008,Jun,6,2008-06-01,2008,2,1
Região Centro-Oeste,2008/Jun,3.0,2008,Jun,6,2008-06-01,2008,2,1
Região Norte,2008/Jul,8.0,2008,Jul,7,2008-07-01,2008,3,2
Região Nordeste,2008/Jul,6.0,2008,Jul,7,2008-07-01,2008,3,2
Região Sudeste,2008/Jul,27.0,2008,Jul,7,2008-07-01,2008,3,2
Região Sul,2008/Jul,14.0,2008,Jul,7,2008-07-01,2008,3,2
Região Centro-Oeste,2008/Jul,4.0,2008,Jul,7,2008-07-01,2008,3,2
Região Norte,2008/Ago,3.0,2008,Ago,8,2008-08-01,2008,3,2
Região Nordeste,2008/Ago,7.0,2008,Ago,8,2008-08-01,2008,3,2
Região Sudeste,2008/Ago,23.0,2008,Ago,8,2008-08-01,2008,3,2
Região Sul,2008/Ago,9.0,2008,Ago,8,2008-08-01,2008,3,2
Região Centro-Oeste,2008/Ago,4.0,2008,Ago,8,2008-08-01,2008,3,2
Região Norte,2008/Set,3.0,2008,Set,9,2008-09-01,2008,3,2
Região Nordeste,2008/Set,7.0,2008,Set,9,2008-09-01,2008,3,2
Região Sudeste,2008/Set,19.0,2008,Set,9,2008-09-01,2008,3,2
Região Sul,2008/Set,7.0,2008,Set,9,2008-09-01,2008,3,2
Região Centro-Oeste,2008/Set,5.0,2008,Set,9,2008-09-01,2008,3,2
Região Norte,2008/Out,2.0,2008,Out,10,2008-10-01,2008,4,2
Região Nordeste,2008/Out,6.0,2008,Out,10,2008-10-01,2008,4,2
Região Sudeste,2008/Out,19.0,2008,Out,10,2008-10-01,2008,4,2
Região Sul,2008/Out,3.0,2008,Out,10,2008-10-01,2008,4,2
Região Centro-Oeste,2008/Out,2.0,2008,Out,10,2008-10-01,2008,4,2
Região Norte,2008/Nov,3.0,2008,Nov,11,2008-11-01,2008,4,2
Região Nordeste,2008/Nov,9.0,2008,Nov,11,2008-11-01,2008,4,2
Região Sudeste,2008/Nov,15.0,2008,Nov,11,2008-11-01,2008,4,2
Região Sul,2008/Nov,8.0,2008,Nov,11,2008-11-01,2008,4,2
Região Centro-Oeste,2008/Nov,3.0,2008,Nov,11,2008-11-01,2008,4,2
Região Norte,2008/Dez,,2008,Dez,12,2008-12-01,2008,4,2
Região Nordeste,2008/Dez,4.0,2008,Dez,12,2008-12-01,2008,4,2
Região Sudeste,2008/Dez,27.0,2008,Dez,12,2008-12-01,2008,4,2
Região Sul,2008/Dez,8.0,2008,Dez,12,2008-12-01,2008,4,2
Região Centro-Oeste,2008/Dez,6.0,2008,Dez,12,2008-12-01,2008,4,2
Região Norte,2009/Jan,1.0,2009,Jan,1,2009-01-01,2009,1,1
Região Nordeste,2009/Jan,8.0,2009,Jan,1,2009-01-01,2009,1,1
Região Sudeste,2009/Jan,20.0,2009,Jan,1,2009-01-01,2009,1,1
Região Sul,2009/Jan,6.0,2009,Jan,1,2009-01-01,2009,1,1
Região Centro-Oeste,2009/Jan,,2009,Jan,1,2009-01-01,2009,1,1
Região Norte,2009/Fev,,2009,Fev,2,2009-02-01,2009,1,1
Região Nordeste,2009/Fev,6.0,2009,Fev,2,2009-02-01,2009,1,1
Região Sudeste,2009/Fev,26.0,2009,Fev,2,2009-02-01,2009,1,1
Região Sul,2009/Fev,5.0,2009,Fev,2,2009-02-01,2009,1,1
Região Centro-Oeste,2009/Fev,4.0,2009,Fev,2,2009-02-01,2009,1,1
Região Norte,2009/Mar,1.0,2009,Mar,3,2009-03-01,2009,1,1
Região Nordeste,2009/Mar,10.0,2009,Mar,3,2009-03-01,2009,1,1
Região Sudeste,2009/Mar,23.0,2009,Mar,3,2009-03-01,2009,1,1
Região Sul,2009/Mar,4.0,2009,Mar,3,2009-03-01,2009,1,1
Região Centro-Oeste,2009/Mar,2.0,2009,Mar,3,2009-03-01,2009,1,1
Região Norte,2009/Abr,3.0,2009,Abr,4,2009-04-01,2009,2,1
Região Nordeste,2009/Abr,6.0,2009,Abr,4,2009-04-01,2009,2,1
Região Sudeste,2009/Abr,25.0,2009,Abr,4,2009-04-01,2009,2,1
Região Sul,2009/Abr,9.0,2009,Abr,4,2009-04-01,2009,2,1
Região Centro-Oeste,2009/Abr,3.0,2009,Abr,4,2009-04-01,2009,2,1
Região Norte,2009/Mai,2.0,2009,Mai,5,2009-05-01,2009,2,1
Região Nordeste,2009/Mai,8.0,2009,Mai,5,2009-05-01,2009,2,1
Região Sudeste,2009/Mai,13.0,2009,Mai,5,2009-05-01,2009,2,1
Região Sul,2009/Mai,9.0,2009,Mai,5,2009-05-01,2009,2,1
Região Centro-Oeste,2009/Mai,1.0,2009,Mai,5,2009-05-01,2009,2,1
Região Norte,2009/Jun,2.0,2009,Jun,6,2009-06-01,2009,2,1
Região Nordeste,2009/Jun,5.0,2009,Jun,6,2009-06-01,2009,2,1
Região Sudeste,2009/Jun,18.0,2009,Jun,6,2009-06-01,2009,2,1
Região Sul,2009/Jun,14.0,2009,Jun,6,2009-06-01,2009,2,1
Região Centro-Oeste,2009/Jun,5.0,2009,Jun,6,2009-06-01,2009,2,1
Região Norte,2009/Jul,1.0,2009,Jul,7,2009-07-01,2009,3,2
Região Nordeste,2009/Jul,3.0,2009,Jul,7,2009-07-01,2009,3,2
Região Sudeste,2009/Jul,29.0,2009,Jul,7,2009-07-01,2009,3,2
Região Sul,2009/Jul,7.0,2009,Jul,7,2009-07-01,2009,3,2
Região Centro-Oeste,2009/Jul,3.0,2009,Jul,7,2009-07-01,2009,3,2
Região Norte,2009/Ago,3.0,2009,Ago,8,2009-08-01,2009,3,2
Região Nordeste,2009/Ago,12.0,2009,Ago,8,2009-08-01,2009,3,2
Região Sudeste,2009/Ago,19.0,2009,Ago,8,2009-08-01,2009,3,2
Região Sul,2009/Ago,9.0,2009,Ago,8,2009-08-01,2009,3,2
Região Centro-Oeste,2009/Ago,3.0,2009,Ago,8,2009-08-01,2009,3,2
Região Norte,2009/Set,1.0,2009,Set,9,2009-09-01,2009,3,2
Região Nordeste,2009/Set,6.0,2009,Set,9,2009-09-01,2009,3,2
Região Sudeste,2009/Set,17.0,2009,Set,9,2009-09-01,2009,3,2
Região Sul,2009/Set,8.0,2009,Set,9,2009-09-01,2009,3,2
Região Centro-Oeste,2009/Set,2.0,2009,Set,9,2009-09-01,2009,3,2
Região Norte,2009/Out,2.0,2009,Out,10,2009-10-01,2009,4,2
Região Nordeste,2009/Out,7.0,2009,Out,10,2009-10-01,2009,4,2
Região Sudeste,2009/Out,18.0,2009,Out,10,2009-10-01,2009,4,2
Região Sul,2009/Out,5.0,2009,Out,10,2009-10-01,2009,4,2
Região Centro-Oeste,2009/Out,4.0,2009,Out,10,2009-10-01,2009,4,2
Região Norte,2009/Nov,1.0,2009,Nov,11,2009-11-01,2009,4,2
Região Nordeste,2009/Nov,13.0,2009,Nov,11,2009-11-01,2009,4,2
Região Sudeste,2009/Nov,22.0,2009,Nov,11,2009-11-01,2009,4,2
Região Sul,2009/Nov,7.0,2009,Nov,11,2009-11-01,2009,4,2
Região Centro-Oeste,2009/Nov,3.0,2009,Nov,11,2009-11-01,2009,4,2
Região Norte,2009/Dez,4.0,2009,Dez,12,2009-12-01,2009,4,2
Região Nordeste,2009/Dez,11.0,2009,Dez,12,2009-12-01,2009,4,2
Região Sudeste,2009/Dez,15.0,2009,Dez,12,2009-12-01,2009,4,2
Região Sul,2009/Dez,7.0,2009,Dez,12,2009-12-01,2009,4,2
Região Centro-Oeste,2009/Dez,3.0,2009,Dez,12,2009-12-01,2009,4,2
Região Norte,2010/Jan,5.0,2010,Jan,1,2010-01-01,2010,1,1
Região Nordeste,2010/Jan,12.0,2010,Jan,1,2010-01-01,2010,1,1
Região Sudeste,2010/Jan,23.0,2010,Jan,1,2010-01-01,2010,1,1
Região Sul,2010/Jan,4.0,2010,Jan,1,2010-01-01,2010,1,1
Região Centro-Oeste,2010/Jan,1.0,2010,Jan,1,2010-01-01,2010,1,1
Região Norte,2010/Fev,4.0,2010,Fev,2,2010-02-01,2010,1,1
Região Nordeste,2010/Fev,4.0,2010,Fev,2,2010-02-01,2010,1,1
Região Sudeste,2010/Fev,13.0,2010,Fev,2,2010-02-01,2010,1,1
Região Sul,2010/Fev,10.0,2010,Fev,2,2010-02-01,2010,1,1
Região Centro-Oeste,2010/Fev,2.0,2010,Fev,2,2010-02-01,2010,1,1
Região Norte,2010/Mar,1.0,2010,Mar,3,2010-03-01,2010,1,1
Região Nordeste,2010/Mar,7.0,2010,Mar,3,2010-03-01,2010,1,1
Região Sudeste,2010/Mar,17.0,2010,Mar,3,2010-03-01,2010,1,1
Região Sul,2010/Mar,11.0,2010,Mar,3,2010-03-01,2010,1,1
Região Centro-Oeste,2010/Mar,2.0,2010,Mar,3,2010-03-01,2010,1,1
Região Norte,2010/Abr,7.0,2010,Abr,4,2010-04-01,2010,2,1
Região Nordeste,2010/Abr,9.0,2010,Abr,4,2010-04-01,2010,2,1
Região Sudeste,2010/Abr,16.0,2010,Abr,4,2010-04-01,2010,2,1
Região Sul,2010/Abr,6.0,2010,Abr,4,2010-04-01,2010,2,1
Região Centro-Oeste,2010/Abr,4.0,2010,Abr,4,2010-04-01,2010,2,1
Região Norte,2010/Mai,3.0,2010,Mai,5,2010-05-01,2010,2,1
Região Nordeste,2010/Mai,10.0,2010,Mai,5,2010-05-01,2010,2,1
Região Sudeste,2010/Mai,18.0,2010,Mai,5,2010-05-01,2010,2,1
Região Sul,2010/Mai,5.0,2010,Mai,5,2010-05-01,2010,2,1
Região Centro-Oeste,2010/Mai,4.0,2010,Mai,5,2010-05-01,2010,2,1
Região Norte,2010/Jun,4.0,2010,Jun,6,2010-06-01,2010,2,1
Região Nordeste,2010/Jun,10.0,2010,Jun,6,2010-06-01,2010,2,1
Região Sudeste,2010/Jun,16.0,2010,Jun,6,2010-06-01,2010,2,1
Região Sul,2010/Jun,2.0,2010,Jun,6,2010-06-01,2010,2,1
Região Centro-Oeste,2010/Jun,4.0,2010,Jun,6,2010-06-01,2010,2,1
Região Norte,2010/Jul,2.0,2010,Jul,7,2010-07-01,2010,3,2
